,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
451,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
452,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
453,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
454,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
455,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
456,86.0,,,1199.0,3.0,35.0,,113.0,1.0,0,0,1,0,0,0,0,0,0,0
468,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
469,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
470,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
471,80.0,175.0,175.0,1498.0,4.0,35.0,175.0,160.0,1.0,0,1,0,0,0,0,0,0,0,0
472,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
473,80.0,175.0,175.0,1498.0,4.0,35.0,175.0,160.0,1.0,0,1,0,0,0,0,0,0,0,0
474,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
475,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
476,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
477,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
478,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
479,90.0,175.0,175.0,1198.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
480,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
481,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
482,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
483,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
484,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
485,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
486,100.0,175.0,175.0,1498.0,4.0,35.0,175.0,200.0,1.0,0,1,0,0,0,0,0,0,0,0
487,90.0,175.0,175.0,1199.0,4.0,35.0,175.0,110.0,1.0,0,1,0,0,0,0,0,0,0,0
551,123.0,195.0,195.0,1497.0,3.0,52.0,195.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
552,123.0,195.0,195.0,1497.0,3.0,52.0,195.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
